username,quiz_name,category,grade,timestamp,date,time,num_total,num_correct,percent_correct,mastery,mastery_timestamp,mastery_date,mastery_time
OarielO,MD2,MD,2,2024-07-31 11:57:57,2024-07-31,11:57:57,2,2,1.0,0,2024-07-31 11:59:27,2024-07-31,11:59:27
OarielO,MD2,MD,2,2024-07-31 11:58:55,2024-07-31,11:58:55,2,2,1.0,0,2024-07-31 11:59:27,2024-07-31,11:59:27
CyrusC3,MD2,MD,2,2024-07-31 11:58:46,2024-07-31,11:58:46,2,1,0.5,0,2024-08-06 12:10:39,2024-08-06,12:10:39
CharlotteC14,MD2,MD,2,2024-07-31 11:59:47,2024-07-31,11:59:47,2,2,1.0,0,2024-08-28 12:32:03,2024-08-28,12:32:03
OarielO,MD2,MD,2,2024-07-31 11:59:27,2024-07-31,11:59:27,2,2,1.0,1,2024-07-31 11:59:27,2024-07-31,11:59:27
OarielO,COM2,CO,2,2024-07-31 12:00:38,2024-07-31,12:00:38,5,5,1.0,0,2024-07-31 12:05:55,2024-07-31,12:05:55
CyrusC3,AS2,AS,2,2024-07-31 11:59:37,2024-07-31,11:59:37,5,4,0.8,0,2024-08-28 12:50:34,2024-08-28,12:50:34
OarielO,COM2,CO,2,2024-07-31 12:01:36,2024-07-31,12:01:36,5,5,1.0,0,2024-07-31 12:05:55,2024-07-31,12:05:55
CyrusC3,MD2,MD,2,2024-07-31 12:02:24,2024-07-31,12:02:24,2,2,1.0,0,2024-08-06 12:10:39,2024-08-06,12:10:39
OarielO,COM2,CO,2,2024-07-31 12:02:53,2024-07-31,12:02:53,5,5,1.0,0,2024-07-31 12:05:55,2024-07-31,12:05:55
CyrusC3,AS2,AS,2,2024-07-31 12:02:53,2024-07-31,12:02:53,5,3,0.6,0,2024-08-28 12:50:34,2024-08-28,12:50:34
OarielO,COM2,CO,2,2024-07-31 12:03:58,2024-07-31,12:03:58,5,5,1.0,0,2024-07-31 12:05:55,2024-07-31,12:05:55
CyrusC3,MD2,MD,2,2024-07-31 12:05:33,2024-07-31,12:05:33,2,2,1.0,0,2024-08-06 12:10:39,2024-08-06,12:10:39
OarielO,COM2,CO,2,2024-07-31 12:05:55,2024-07-31,12:05:55,5,5,1.0,1,2024-07-31 12:05:55,2024-07-31,12:05:55
CyrusC3,AS2,AS,2,2024-07-31 12:07:01,2024-07-31,12:07:01,5,4,0.8,0,2024-08-28 12:50:34,2024-08-28,12:50:34
OarielO,AS2,AS,2,2024-07-31 12:08:13,2024-07-31,12:08:13,5,5,1.0,0,2024-08-28 12:45:50,2024-08-28,12:45:50
OarielO,AS2,AS,2,2024-07-31 12:11:39,2024-07-31,12:11:39,5,4,0.8,0,2024-08-28 12:45:50,2024-08-28,12:45:50
KnoxK2,COM2,CO,2,2024-07-31 12:21:15,2024-07-31,12:21:15,5,5,1.0,0,2024-07-31 12:32:49,2024-07-31,12:32:49
KnoxK2,COM2,CO,2,2024-07-31 12:29:32,2024-07-31,12:29:32,5,5,1.0,0,2024-07-31 12:32:49,2024-07-31,12:32:49
KnoxK2,COM2,CO,2,2024-07-31 12:30:59,2024-07-31,12:30:59,5,5,1.0,0,2024-07-31 12:32:49,2024-07-31,12:32:49
AyaA2,AS2,,2,2024-07-31 12:27:57,2024-07-31,12:27:57,5,4,0.8,0,,,
KnoxK2,COM2,CO,2,2024-07-31 12:31:45,2024-07-31,12:31:45,5,5,1.0,0,2024-07-31 12:32:49,2024-07-31,12:32:49
AyaA2,MD2,MD,2,2024-07-31 12:32:57,2024-07-31,12:32:57,2,2,1.0,0,2024-07-31 12:39:16,2024-07-31,12:39:16
KnoxK2,COM2,CO,2,2024-07-31 12:32:49,2024-07-31,12:32:49,5,5,1.0,1,2024-07-31 12:32:49,2024-07-31,12:32:49
AyaA2,MD2,MD,2,2024-07-31 12:35:01,2024-07-31,12:35:01,2,2,1.0,0,2024-07-31 12:39:16,2024-07-31,12:39:16
AyaA2,AS2,,2,2024-07-31 12:36:02,2024-07-31,12:36:02,5,5,1.0,0,,,
KnoxK2,AS2,AS,2,2024-07-31 12:35:10,2024-07-31,12:35:10,5,5,1.0,0,2024-07-31 12:48:39,2024-07-31,12:48:39
AyaA2,MD2,MD,2,2024-07-31 12:38:40,2024-07-31,12:38:40,2,2,1.0,0,2024-07-31 12:39:16,2024-07-31,12:39:16
AyaA2,MD2,MD,2,2024-07-31 12:39:16,2024-07-31,12:39:16,2,2,1.0,1,2024-07-31 12:39:16,2024-07-31,12:39:16
AyaA2,MD2,MD,2,2024-07-31 12:39:40,2024-07-31,12:39:40,2,1,0.5,1,2024-07-31 12:39:16,2024-07-31,12:39:16
AyaA2,MD2,MD,2,2024-07-31 12:40:15,2024-07-31,12:40:15,2,2,1.0,1,2024-07-31 12:39:16,2024-07-31,12:39:16
AyaA2,MD2,MD,2,2024-07-31 12:40:39,2024-07-31,12:40:39,2,2,1.0,1,2024-07-31 12:39:16,2024-07-31,12:39:16
KnoxK2,AS2,AS,2,2024-07-31 12:39:48,2024-07-31,12:39:48,5,5,1.0,0,2024-07-31 12:48:39,2024-07-31,12:48:39
AyaA2,MD2,MD,2,2024-07-31 12:42:29,2024-07-31,12:42:29,2,2,1.0,1,2024-07-31 12:39:16,2024-07-31,12:39:16
KnoxK2,AS2,AS,2,2024-07-31 12:42:27,2024-07-31,12:42:27,5,5,1.0,0,2024-07-31 12:48:39,2024-07-31,12:48:39
AyaA2,AS2,,2,2024-07-31 12:43:01,2024-07-31,12:43:01,5,5,1.0,0,,,
KnoxK2,AS2,AS,2,2024-07-31 12:45:35,2024-07-31,12:45:35,5,5,1.0,0,2024-07-31 12:48:39,2024-07-31,12:48:39
AyaA2,COM2,CO,2,2024-07-31 12:47:47,2024-07-31,12:47:47,5,5,1.0,0,2024-07-31 12:52:12,2024-07-31,12:52:12
AyaA2,COM2,CO,2,2024-07-31 12:50:17,2024-07-31,12:50:17,5,5,1.0,0,2024-07-31 12:52:12,2024-07-31,12:52:12
KnoxK2,AS2,AS,2,2024-07-31 12:48:39,2024-07-31,12:48:39,5,5,1.0,1,2024-07-31 12:48:39,2024-07-31,12:48:39
KnoxK2,MD2,MD,2,2024-07-31 12:51:10,2024-07-31,12:51:10,2,2,1.0,0,2024-07-31 12:54:14,2024-07-31,12:54:14
AyaA2,COM2,CO,2,2024-07-31 12:51:07,2024-07-31,12:51:07,5,5,1.0,0,2024-07-31 12:52:12,2024-07-31,12:52:12
KnoxK2,MD2,MD,2,2024-07-31 12:51:43,2024-07-31,12:51:43,2,2,1.0,0,2024-07-31 12:54:14,2024-07-31,12:54:14
KnoxK2,MD2,MD,2,2024-07-31 12:52:28,2024-07-31,12:52:28,2,2,1.0,0,2024-07-31 12:54:14,2024-07-31,12:54:14
AyaA2,COM2,CO,2,2024-07-31 12:52:12,2024-07-31,12:52:12,5,5,1.0,1,2024-07-31 12:52:12,2024-07-31,12:52:12
KnoxK2,COM2,CO,2,2024-07-31 12:52:46,2024-07-31,12:52:46,5,5,1.0,1,2024-07-31 12:32:49,2024-07-31,12:32:49
KnoxK2,MD2,MD,2,2024-07-31 12:53:53,2024-07-31,12:53:53,2,2,1.0,0,2024-07-31 12:54:14,2024-07-31,12:54:14
OamirO,AS1,AS,1,2024-07-31 12:51:50,2024-07-31,12:51:50,5,2,0.4,0,2024-08-29 12:13:10,2024-08-29,12:13:10
KnoxK2,MD2,MD,2,2024-07-31 12:54:14,2024-07-31,12:54:14,2,2,1.0,1,2024-07-31 12:54:14,2024-07-31,12:54:14
KnoxK2,COM3,CO,3,2024-07-31 12:59:15,2024-07-31,12:59:15,4,4,1.0,0,2024-08-07 12:06:01,2024-08-07,12:06:01
OamirO,AS1,AS,1,2024-08-06 11:13:45,2024-08-06,11:13:45,5,4,0.8,0,2024-08-29 12:13:10,2024-08-29,12:13:10
IyanaI,COM1,CO,1,2024-08-06 11:14:05,2024-08-06,11:14:05,5,2,0.4,0,2024-08-06 11:43:08,2024-08-06,11:43:08
IyanaI,COM1,CO,1,2024-08-06 11:20:19,2024-08-06,11:20:19,5,5,1.0,0,2024-08-06 11:43:08,2024-08-06,11:43:08
IyanaI,COM1,CO,1,2024-08-06 11:24:10,2024-08-06,11:24:10,5,5,1.0,0,2024-08-06 11:43:08,2024-08-06,11:43:08
IyanaI,COM1,CO,1,2024-08-06 11:29:43,2024-08-06,11:29:43,5,5,1.0,0,2024-08-06 11:43:08,2024-08-06,11:43:08
OamirO,COM1,CO,1,2024-08-06 11:33:27,2024-08-06,11:33:27,5,4,0.8,0,2024-12-18 09:58:01,2024-12-18,09:58:01
OamirO,COM1,CO,1,2024-08-06 11:37:34,2024-08-06,11:37:34,5,0,0.0,0,2024-12-18 09:58:01,2024-12-18,09:58:01
OamirO,COM1,CO,1,2024-08-06 11:38:30,2024-08-06,11:38:30,5,1,0.2,0,2024-12-18 09:58:01,2024-12-18,09:58:01
OamirO,COM1,CO,1,2024-08-06 11:40:50,2024-08-06,11:40:50,5,3,0.6,0,2024-12-18 09:58:01,2024-12-18,09:58:01
IyanaI,COM1,CO,1,2024-08-06 11:36:29,2024-08-06,11:36:29,5,5,1.0,0,2024-08-06 11:43:08,2024-08-06,11:43:08
OamirO,COM1,CO,1,2024-08-06 11:42:50,2024-08-06,11:42:50,5,2,0.4,0,2024-12-18 09:58:01,2024-12-18,09:58:01
OamirO,COM1,CO,1,2024-08-06 11:44:25,2024-08-06,11:44:25,5,3,0.6,0,2024-12-18 09:58:01,2024-12-18,09:58:01
OamirO,COM1,CO,1,2024-08-06 11:48:26,2024-08-06,11:48:26,5,2,0.4,0,2024-12-18 09:58:01,2024-12-18,09:58:01
IyanaI,COM1,CO,1,2024-08-06 11:43:08,2024-08-06,11:43:08,5,5,1.0,1,2024-08-06 11:43:08,2024-08-06,11:43:08
OamirO,COM1,CO,1,2024-08-06 11:50:34,2024-08-06,11:50:34,5,1,0.2,0,2024-12-18 09:58:01,2024-12-18,09:58:01
CyrusC3,MD2,MD,2,2024-08-06 12:10:39,2024-08-06,12:10:39,2,2,1.0,1,2024-08-06 12:10:39,2024-08-06,12:10:39
PaytonP4,MD2,MD,2,2024-08-06 12:12:20,2024-08-06,12:12:20,2,2,1.0,0,2024-08-06 12:16:04,2024-08-06,12:16:04
PaytonP4,MD2,MD,2,2024-08-06 12:13:20,2024-08-06,12:13:20,2,2,1.0,0,2024-08-06 12:16:04,2024-08-06,12:16:04
CyrusC3,COM3,CO,3,2024-08-06 12:13:14,2024-08-06,12:13:14,4,3,0.75,0,2024-08-20 11:46:02,2024-08-20,11:46:02
PaytonP4,MD2,MD,2,2024-08-06 12:13:57,2024-08-06,12:13:57,2,2,1.0,0,2024-08-06 12:16:04,2024-08-06,12:16:04
PaytonP4,MD2,MD,2,2024-08-06 12:16:04,2024-08-06,12:16:04,2,2,1.0,1,2024-08-06 12:16:04,2024-08-06,12:16:04
PaytonP4,MD2,MD,2,2024-08-06 12:16:29,2024-08-06,12:16:29,2,1,0.5,1,2024-08-06 12:16:04,2024-08-06,12:16:04
CyrusC3,MD3,MD,3,2024-08-06 12:14:57,2024-08-06,12:14:57,4,4,1.0,0,2024-10-02 09:45:36,2024-10-02,09:45:36
PaytonP4,MD2,MD,2,2024-08-06 12:17:09,2024-08-06,12:17:09,2,2,1.0,1,2024-08-06 12:16:04,2024-08-06,12:16:04
PaytonP4,MD2,MD,2,2024-08-06 12:18:37,2024-08-06,12:18:37,2,2,1.0,1,2024-08-06 12:16:04,2024-08-06,12:16:04
PaytonP4,AS2,,2,2024-08-06 12:20:39,2024-08-06,12:20:39,5,5,1.0,0,,,
AyaA2,MD3,,3,2024-08-06 12:29:32,2024-08-06,12:29:32,4,4,1.0,0,,,
PaytonP4,MD2,MD,2,2024-08-06 12:31:09,2024-08-06,12:31:09,2,2,1.0,1,2024-08-06 12:16:04,2024-08-06,12:16:04
AyaA2,COM2,CO,2,2024-08-06 12:31:19,2024-08-06,12:31:19,5,5,1.0,1,2024-07-31 12:52:12,2024-07-31,12:52:12
PaytonP4,AS2,,2,2024-08-06 12:32:12,2024-08-06,12:32:12,5,3,0.6,0,,,
AyaA2,COM3,CO,3,2024-08-07 11:09:21,2024-08-07,11:09:21,4,2,0.5,0,2025-01-31 09:29:32,2025-01-31,09:29:32
OarielO,LG3,LG,3,2024-08-07 11:07:20,2024-08-07,11:07:20,5,5,1.0,0,2024-08-07 11:17:21,2024-08-07,11:17:21
FoxF2,COM2,CO,2,2024-08-07 11:09:18,2024-08-07,11:09:18,5,5,1.0,0,2024-11-05 12:31:49,2024-11-05,12:31:49
AyaA2,LG3,LG,3,2024-08-07 11:10:11,2024-08-07,11:10:11,5,5,1.0,0,2024-08-28 12:30:13,2024-08-28,12:30:13
AyaA2,LG3,LG,3,2024-08-07 11:11:47,2024-08-07,11:11:47,5,5,1.0,0,2024-08-28 12:30:13,2024-08-28,12:30:13
OarielO,LG3,LG,3,2024-08-07 11:11:08,2024-08-07,11:11:08,5,4,0.8,0,2024-08-07 11:17:21,2024-08-07,11:17:21
FoxF2,AS2,AS,2,2024-08-07 11:12:00,2024-08-07,11:12:00,5,3,0.6,0,2024-11-25 10:41:36,2024-11-25,10:41:36
OarielO,LG3,LG,3,2024-08-07 11:13:31,2024-08-07,11:13:31,5,5,1.0,0,2024-08-07 11:17:21,2024-08-07,11:17:21
FoxF2,MD2,MD,2,2024-08-07 11:17:38,2024-08-07,11:17:38,2,2,1.0,0,2024-08-07 11:40:05,2024-08-07,11:40:05
OarielO,LG3,LG,3,2024-08-07 11:17:21,2024-08-07,11:17:21,5,5,1.0,1,2024-08-07 11:17:21,2024-08-07,11:17:21
AyaA2,AS3,AS,3,2024-08-07 11:16:52,2024-08-07,11:16:52,6,6,1.0,0,2024-12-18 10:17:07,2024-12-18,10:17:07
FoxF2,AS2,AS,2,2024-08-07 11:18:32,2024-08-07,11:18:32,5,4,0.8,0,2024-11-25 10:41:36,2024-11-25,10:41:36
FoxF2,COM2,CO,2,2024-08-07 11:23:37,2024-08-07,11:23:37,5,5,1.0,0,2024-11-05 12:31:49,2024-11-05,12:31:49
FoxF2,AS2,AS,2,2024-08-07 11:25:37,2024-08-07,11:25:37,5,5,1.0,0,2024-11-25 10:41:36,2024-11-25,10:41:36
OarielO,LG3,LG,3,2024-08-07 11:26:09,2024-08-07,11:26:09,5,5,1.0,1,2024-08-07 11:17:21,2024-08-07,11:17:21
FoxF2,MD2,MD,2,2024-08-07 11:29:02,2024-08-07,11:29:02,2,2,1.0,0,2024-08-07 11:40:05,2024-08-07,11:40:05
FoxF2,COM2,CO,2,2024-08-07 11:29:32,2024-08-07,11:29:32,5,5,1.0,0,2024-11-05 12:31:49,2024-11-05,12:31:49
OarielO,LG3,LG,3,2024-08-07 11:28:41,2024-08-07,11:28:41,5,4,0.8,1,2024-08-07 11:17:21,2024-08-07,11:17:21
AyaA2,MD3,,3,2024-08-07 11:30:44,2024-08-07,11:30:44,4,4,1.0,0,,,
FoxF2,AS2,AS,2,2024-08-07 11:31:48,2024-08-07,11:31:48,5,4,0.8,0,2024-11-25 10:41:36,2024-11-25,10:41:36
AyaA2,MD3,,3,2024-08-07 11:33:58,2024-08-07,11:33:58,4,2,0.5,0,,,
AyaA2,COM3,CO,3,2024-08-07 11:35:39,2024-08-07,11:35:39,4,4,1.0,0,2025-01-31 09:29:32,2025-01-31,09:29:32
AyaA2,COM3,CO,3,2024-08-07 11:36:13,2024-08-07,11:36:13,4,3,0.75,0,2025-01-31 09:29:32,2025-01-31,09:29:32
FoxF2,AS2,AS,2,2024-08-07 11:34:16,2024-08-07,11:34:16,5,4,0.8,0,2024-11-25 10:41:36,2024-11-25,10:41:36
OarielO,LG3,LG,3,2024-08-07 11:36:25,2024-08-07,11:36:25,5,5,1.0,1,2024-08-07 11:17:21,2024-08-07,11:17:21
FoxF2,AS2,AS,2,2024-08-07 11:37:23,2024-08-07,11:37:23,5,5,1.0,0,2024-11-25 10:41:36,2024-11-25,10:41:36
FoxF2,MD2,MD,2,2024-08-07 11:39:25,2024-08-07,11:39:25,2,2,1.0,0,2024-08-07 11:40:05,2024-08-07,11:40:05
FoxF2,MD2,MD,2,2024-08-07 11:39:39,2024-08-07,11:39:39,2,2,1.0,0,2024-08-07 11:40:05,2024-08-07,11:40:05
FoxF2,MD2,MD,2,2024-08-07 11:40:05,2024-08-07,11:40:05,2,2,1.0,1,2024-08-07 11:40:05,2024-08-07,11:40:05
KnoxK2,COM3,CO,3,2024-08-07 12:04:06,2024-08-07,12:04:06,4,4,1.0,0,2024-08-07 12:06:01,2024-08-07,12:06:01
IyanaI,COM1,CO,1,2024-08-07 12:03:44,2024-08-07,12:03:44,5,5,1.0,1,2024-08-06 11:43:08,2024-08-06,11:43:08
KnoxK2,COM3,CO,3,2024-08-07 12:04:54,2024-08-07,12:04:54,4,4,1.0,0,2024-08-07 12:06:01,2024-08-07,12:06:01
KnoxK2,COM3,CO,3,2024-08-07 12:05:29,2024-08-07,12:05:29,4,4,1.0,0,2024-08-07 12:06:01,2024-08-07,12:06:01
IyanaI,COM1,CO,1,2024-08-07 12:05:27,2024-08-07,12:05:27,5,5,1.0,1,2024-08-06 11:43:08,2024-08-06,11:43:08
KnoxK2,COM3,CO,3,2024-08-07 12:06:01,2024-08-07,12:06:01,4,4,1.0,1,2024-08-07 12:06:01,2024-08-07,12:06:01
IyanaI,COM1,CO,1,2024-08-07 12:06:32,2024-08-07,12:06:32,5,5,1.0,1,2024-08-06 11:43:08,2024-08-06,11:43:08
PaytonP4,COM2,CO,2,2024-08-07 12:06:15,2024-08-07,12:06:15,5,4,0.8,0,2024-08-07 12:12:30,2024-08-07,12:12:30
PaytonP4,COM2,CO,2,2024-08-07 12:09:27,2024-08-07,12:09:27,5,5,1.0,0,2024-08-07 12:12:30,2024-08-07,12:12:30
KnoxK2,AS3,AS,3,2024-08-07 12:06:30,2024-08-07,12:06:30,6,6,1.0,0,2024-08-07 12:19:18,2024-08-07,12:19:18
IyanaI,COM1,CO,1,2024-08-07 12:08:49,2024-08-07,12:08:49,5,5,1.0,1,2024-08-06 11:43:08,2024-08-06,11:43:08
PaytonP4,COM2,CO,2,2024-08-07 12:10:15,2024-08-07,12:10:15,5,5,1.0,0,2024-08-07 12:12:30,2024-08-07,12:12:30
PaytonP4,COM2,CO,2,2024-08-07 12:11:41,2024-08-07,12:11:41,5,5,1.0,0,2024-08-07 12:12:30,2024-08-07,12:12:30
KnoxK2,AS3,AS,3,2024-08-07 12:10:14,2024-08-07,12:10:14,6,6,1.0,0,2024-08-07 12:19:18,2024-08-07,12:19:18
PaytonP4,COM2,CO,2,2024-08-07 12:12:30,2024-08-07,12:12:30,5,5,1.0,1,2024-08-07 12:12:30,2024-08-07,12:12:30
